Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
200000000004,Sundries,1,999,n,n,FAFDA ,Fafda,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
499914570004,Sundries,1,149,n,n,8.52812E+11,8.52812E+11,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
200001000003,Beer,1,699,n,n,Budlight 6pack cans,Bud Light 6pack Cans,12oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
200002000002,Beer,1,699,n,n,Budweiser,Budweiser,12floz 6pk,,n,1,0,0,n,,0,,,,,,n,,,,,,,
499914570011,Liquor ,1,3199,n,n,Villon vsop cognac,Villon VSOP Cognac,750ml,,n,1,1,0,n,,0,,,,,,n,,,,,,,
499145750008,Labubu,1,1099,n,n,Labubu,Labubu,1,,n,1,1,0,n,,0,,,,,,y,,,,,Labubu keychain,Labubu,1
201412000002,Sundries,1,1999,n,n,Weight max gts 100,Weight Max Gts 100,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
202000000008,Ice bag 10 lab,1,249,n,n,test item,Test Item,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
205200000007,Liquor ,1,6999,n,n,Plantery rum barbados xo rum 20th,Plantery Rum Barbados XO Rum 20th,750ml,,n,1,1,0,n,,1,,,,,,n,,,,,,,
223456000008,Sundries,1,1299,n,n,GlSses,Glsses,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
246175000005,Sundries,1,1299,n,n,Preamium,Preamium,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
256891000005,Sundries,1,1299,n,n,Rhino 69,Rhino 69,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
07933624,Snacks /candy,1,129,n,n,Nerds grape & strawberry,Nerds Grape & Strawberry,,,n,0,1,0,n,,0,,,,,,n,,,,,,,
11319375,Sundries,1,149,n,n,Camo mango,Camo Mango,,,n,1,0,0,n,,-4,,,,,0,n,,,,,,,
13817770,Snacks /candy,1,229,n,n,Big league chew ,Big League Chew,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
19869377,Sundries,1,99,n,n,Camo choco,Camo Choco,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
19889375,Sundries,1,99,n,n,Camo grape,Camo Grape,,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
19889399,Sundries,1,99,n,n,Camo watermelon,Camo Watermelon,,,n,1,0,0,n,,11,,,,,0,n,,,,,,,
19999371,Sundries,1,99,n,n,Camo blueberry,Camo Blueberry,,,n,1,0,0,n,,-4,,,,,0,n,,,,,,,
20311018,Tabbocco,1,149,n,n,Camo,Camo,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
20311025,Tabbocco,1,149,n,n,Camo,Camo,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
27081891,Food,1,389,n,n,Bomb burrito,Bomb Burrito,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
